"customer_id,last_active_week,activity_status"
"0056-EPFBG,2023-06-21 00:00:00.000000,Dormant"
"0057-QBUQH,2024-02-14 00:00:00.000000,Dormant"
"0058-EVZWM,2023-09-12 00:00:00.000000,Dormant"
"0060-FUALY,2024-04-11 00:00:00.000000,Dormant"
"0064-SUDOG,2023-04-09 00:00:00.000000,Dormant"
"0064-YIJGF,2024-03-09 00:00:00.000000,Dormant"
"0067-DKWBL,2023-01-21 00:00:00.000000,Dormant"
"0068-FIGTF,2023-08-27 00:00:00.000000,Dormant"
"0071-NDAFP,2023-09-22 00:00:00.000000,Dormant"
"0074-HDKDG,2024-01-02 00:00:00.000000,Dormant"
"0076-LVEPS,2024-02-04 00:00:00.000000,Dormant"
"0078-XZMHT,2024-01-14 00:00:00.000000,Dormant"
"0080-EMYVY,2023-09-24 00:00:00.000000,Dormant"
"0080-OROZO,2023-06-17 00:00:00.000000,Dormant"
"0082-LDZUE,2023-12-30 00:00:00.000000,Dormant"
"0082-OQIQY,2023-10-01 00:00:00.000000,Dormant"
"0083-PIVIK,2023-08-23 00:00:00.000000,Dormant"
"0089-IIQKO,2024-01-20 00:00:00.000000,Dormant"
"0093-EXYQL,2024-05-12 00:00:00.000000,Dormant"
"0093-XWZFY,2024-04-18 00:00:00.000000,Dormant"
"0094-OIFMO,2024-03-07 00:00:00.000000,Dormant"
"0096-BXERS,2023-06-14 00:00:00.000000,Dormant"
"0096-FCPUF,2024-01-21 00:00:00.000000,Dormant"
"0098-BOWSO,2023-06-30 00:00:00.000000,Dormant"
"0100-DUVFC,2024-05-11 00:00:00.000000,Dormant"
"0103-CSITQ,2024-01-15 00:00:00.000000,Dormant"
"0104-PPXDV,2023-06-26 00:00:00.000000,Dormant"
"0106-GHRQR,2023-08-24 00:00:00.000000,Dormant"
"0106-UGRDO,2023-12-22 00:00:00.000000,Dormant"
"0107-WESLM,2023-01-10 00:00:00.000000,Dormant"
"0107-YHINA,2023-11-19 00:00:00.000000,Dormant"
"0111-KLBQG,2023-08-19 00:00:00.000000,Dormant"
"0112-QAWRZ,2023-11-08 00:00:00.000000,Dormant"
"0112-QWPNC,2023-08-03 00:00:00.000000,Dormant"
"0114-IGABW,2023-08-12 00:00:00.000000,Dormant"
"0114-PEGZZ,2023-10-12 00:00:00.000000,Dormant"
"0114-RSRRW,2023-03-27 00:00:00.000000,Dormant"
"0115-TFERT,2023-08-20 00:00:00.000000,Dormant"
"0117-LFRMW,2023-09-13 00:00:00.000000,Dormant"
"0118-JPNOY,2024-05-07 00:00:00.000000,Dormant"
"0121-SNYRK,2024-06-05 00:00:00.000000,Dormant"
"0122-OAHPZ,2023-09-25 00:00:00.000000,Dormant"
"0123-CRBRT,2023-09-13 00:00:00.000000,Dormant"
"0125-LZQXK,2023-11-06 00:00:00.000000,Dormant"
"0128-MKWSG,2023-08-06 00:00:00.000000,Dormant"
"0129-KPTWJ,2023-10-09 00:00:00.000000,Dormant"
"0129-QMPDR,2023-09-20 00:00:00.000000,Dormant"
"0130-SXOUN,2023-07-20 00:00:00.000000,Dormant"
"0133-BMFZO,2023-03-27 00:00:00.000000,Dormant"
"0134-XWXCE,2024-02-03 00:00:00.000000,Dormant"
"0135-NMXAP,2024-02-01 00:00:00.000000,Dormant"
"0136-IFMYD,2023-11-03 00:00:00.000000,Dormant"
"0137-OCGAB,2023-04-22 00:00:00.000000,Dormant"
"0137-UDEUO,2023-02-25 00:00:00.000000,Dormant"
"0139-IVFJG,2023-06-15 00:00:00.000000,Dormant"
"0141-YEAYS,2024-01-11 00:00:00.000000,Dormant"
"0142-GVYSN,2024-04-12 00:00:00.000000,Dormant"
"0147-ESWWR,2024-06-05 00:00:00.000000,Dormant"
"0148-DCDOS,2023-08-12 00:00:00.000000,Dormant"
"0151-ONTOV,2023-12-11 00:00:00.000000,Dormant"
"0156-FVPTA,2024-05-10 00:00:00.000000,Dormant"
"0164-APGRB,2024-04-20 00:00:00.000000,Dormant"
"0164-XAIRP,2023-08-07 00:00:00.000000,Dormant"
"0168-XZKBB,2024-02-26 00:00:00.000000,Dormant"
"0174-QRVVY,2024-02-02 00:00:00.000000,Dormant"
"0177-PXBAT,2024-02-23 00:00:00.000000,Dormant"
"0178-CIIKR,2023-12-02 00:00:00.000000,Dormant"
"0178-SZBHO,2023-09-11 00:00:00.000000,Dormant"
"0181-RITDD,2023-09-25 00:00:00.000000,Dormant"
"0186-CAERR,2023-12-04 00:00:00.000000,Dormant"
"0187-QSXOE,2023-03-31 00:00:00.000000,Dormant"
"0187-WZNAB,2023-10-05 00:00:00.000000,Dormant"
"0188-GWFLE,2023-07-31 00:00:00.000000,Dormant"
"0191-EQUUH,2023-09-21 00:00:00.000000,Dormant"
"0191-ZHSKZ,2024-02-25 00:00:00.000000,Dormant"
"0193-ESZXP,2024-04-15 00:00:00.000000,Dormant"
"0195-IESCP,2023-10-12 00:00:00.000000,Dormant"
"0196-JTUQI,2023-12-08 00:00:00.000000,Dormant"
"0196-VULGZ,2023-03-19 00:00:00.000000,Dormant"
"0197-PNKNK,2024-02-09 00:00:00.000000,Dormant"
"0201-MIBOL,2023-08-01 00:00:00.000000,Dormant"
"0201-OAMXR,2023-07-21 00:00:00.000000,Dormant"
"0203-HHYIJ,2024-06-09 00:00:00.000000,Dormant"
"0206-OYVOC,2024-06-07 00:00:00.000000,Dormant"
"0206-TBWLC,2023-09-28 00:00:00.000000,Dormant"
"0207-MDKNV,2023-09-07 00:00:00.000000,Dormant"
"0208-BPQEJ,2023-08-12 00:00:00.000000,Dormant"
"0212-ISBBF,2023-10-22 00:00:00.000000,Dormant"
"0214-JHPFW,2024-01-03 00:00:00.000000,Dormant"
"0215-BQKGS,2024-04-25 00:00:00.000000,Dormant"
"0218-QNVAS,2023-11-06 00:00:00.000000,Dormant"
"0219-QAERP,2023-08-01 00:00:00.000000,Dormant"
"0219-YTZUE,2023-03-14 00:00:00.000000,Dormant"
"0220-EBGCE,2023-05-28 00:00:00.000000,Dormant"
"0221-NAUXK,2023-11-10 00:00:00.000000,Dormant"
"0221-WMXNQ,2023-04-03 00:00:00.000000,Dormant"
"0222-CNVPT,2023-07-07 00:00:00.000000,Dormant"
"0224-HJAPT,2023-08-28 00:00:00.000000,Dormant"
"0224-NIJLP,2023-06-03 00:00:00.000000,Dormant"
"0224-RLWWD,2023-10-19 00:00:00.000000,Dormant"
"0225-ZORZP,2023-02-25 00:00:00.000000,Dormant"
"0228-MAUWC,2023-09-07 00:00:00.000000,Dormant"
"0229-LFJAF,2024-03-02 00:00:00.000000,Dormant"
"0230-UBYPQ,2024-04-28 00:00:00.000000,Dormant"
"0230-WEQUW,2024-04-23 00:00:00.000000,Dormant"
"0231-LXVAP,2023-10-12 00:00:00.000000,Dormant"
"0233-FTHAV,2024-01-23 00:00:00.000000,Dormant"
"0234-TEVTT,2023-11-19 00:00:00.000000,Dormant"
"0235-KGSLC,2023-09-07 00:00:00.000000,Dormant"
"0236-HFWSV,2023-12-24 00:00:00.000000,Dormant"
"0237-YFUTL,2023-10-07 00:00:00.000000,Dormant"
"0238-WHBIQ,2023-10-07 00:00:00.000000,Dormant"
"0239-OXEXL,2024-03-13 00:00:00.000000,Dormant"
"0244-LGNFY,2023-08-06 00:00:00.000000,Dormant"
"0247-SLUJI,2023-02-15 00:00:00.000000,Dormant"
"0248-IPDFW,2023-02-16 00:00:00.000000,Dormant"
"0248-PGHBZ,2024-05-27 00:00:00.000000,Dormant"
"0253-ZTEOB,2024-01-06 00:00:00.000000,Dormant"
"0254-FNMCI,2024-04-30 00:00:00.000000,Dormant"
"0254-KCJGT,2023-12-21 00:00:00.000000,Dormant"
"0254-WWRKD,2024-03-29 00:00:00.000000,Dormant"
"0256-LTHVJ,2023-10-24 00:00:00.000000,Dormant"
"0257-KXZGU,2024-05-16 00:00:00.000000,Dormant"
"0257-ZESQC,2024-03-23 00:00:00.000000,Dormant"
"0258-NOKBL,2023-02-04 00:00:00.000000,Dormant"
"0259-GBZSH,2023-08-09 00:00:00.000000,Dormant"
"0260-ZDLGK,2023-11-21 00:00:00.000000,Dormant"
"0263-FJTQO,2023-12-01 00:00:00.000000,Dormant"
"0264-CNITK,2024-01-27 00:00:00.000000,Dormant"
"0265-EDXBD,2024-03-16 00:00:00.000000,Dormant"
"0265-PSUAE,2023-08-13 00:00:00.000000,Dormant"
"0266-CLZKZ,2023-08-23 00:00:00.000000,Dormant"
"0266-GMEAO,2023-11-20 00:00:00.000000,Dormant"
"0268-QKIWO,2023-11-22 00:00:00.000000,Dormant"
"0269-XFESX,2023-08-20 00:00:00.000000,Dormant"
"0270-THENM,2023-09-25 00:00:00.000000,Dormant"
"0274-JKUJR,2023-06-03 00:00:00.000000,Dormant"
"0277-BKSQP,2024-02-11 00:00:00.000000,Dormant"
"0277-ORXQS,2024-03-18 00:00:00.000000,Dormant"
"0278-YXOOG,2024-01-08 00:00:00.000000,Dormant"
"0280-XJGEX,2023-10-31 00:00:00.000000,Dormant"
"0281-CNTZX,2023-11-13 00:00:00.000000,Dormant"
"0282-NVSJS,2023-07-31 00:00:00.000000,Dormant"
"0285-INHLN,2023-07-09 00:00:00.000000,Dormant"
"0289-IVARM,2024-03-27 00:00:00.000000,Dormant"
"0292-WEGCH,2024-04-25 00:00:00.000000,Dormant"
"0295-PPHDO,2023-07-25 00:00:00.000000,Dormant"
"0295-QVKPB,2023-05-11 00:00:00.000000,Dormant"
"0297-RBCSG,2023-07-24 00:00:00.000000,Dormant"
"0298-XACET,2023-08-04 00:00:00.000000,Dormant"
"0301-FIDRB,2024-02-07 00:00:00.000000,Dormant"
"0301-KOBTQ,2023-12-27 00:00:00.000000,Dormant"
"0302-JOIVN,2023-10-30 00:00:00.000000,Dormant"
"0303-UNCIP,2024-03-30 00:00:00.000000,Dormant"
"0303-WMMRN,2023-10-26 00:00:00.000000,Dormant"
"0305-SQECB,2023-11-08 00:00:00.000000,Dormant"
"0306-JAELE,2023-03-15 00:00:00.000000,Dormant"
"0307-BCOPK,2023-07-14 00:00:00.000000,Dormant"
"0308-GIQJT,2023-06-14 00:00:00.000000,Dormant"
"0308-IVGOK,2023-08-30 00:00:00.000000,Dormant"
"0310-MVLET,2023-12-30 00:00:00.000000,Dormant"
"0310-SUCIN,2024-03-18 00:00:00.000000,Dormant"
"0310-VQXAM,2023-07-10 00:00:00.000000,Dormant"
"0311-QYWSS,2023-09-12 00:00:00.000000,Dormant"
"0311-UNPFF,2024-01-26 00:00:00.000000,Dormant"
"0314-TKOSI,2023-04-04 00:00:00.000000,Dormant"
"0315-LVCRK,2023-05-03 00:00:00.000000,Dormant"
"0318-QUUOB,2023-12-27 00:00:00.000000,Dormant"
"0318-ZOPWS,2023-12-09 00:00:00.000000,Dormant"
"0319-QZTCO,2023-09-30 00:00:00.000000,Dormant"
"0320-DWVTU,2024-01-17 00:00:00.000000,Dormant"
"0320-JDNQG,2023-12-07 00:00:00.000000,Dormant"
"0322-CHQRU,2023-08-05 00:00:00.000000,Dormant"
"0322-YINQP,2023-08-12 00:00:00.000000,Dormant"
"0323-XWWTN,2023-12-22 00:00:00.000000,Dormant"
"0324-BRPCJ,2023-06-13 00:00:00.000000,Dormant"
"0325-XBFAC,2023-12-12 00:00:00.000000,Dormant"
"0326-VDYXE,2023-12-30 00:00:00.000000,Dormant"
"0327-WFZSY,2023-09-04 00:00:00.000000,Dormant"
"0328-GRPMV,2023-05-05 00:00:00.000000,Dormant"
"0329-GTIAJ,2023-02-10 00:00:00.000000,Dormant"
"0330-BGYZE,2023-09-15 00:00:00.000000,Dormant"
"0330-IVZHA,2023-08-31 00:00:00.000000,Dormant"
"0334-GDDSO,2023-12-15 00:00:00.000000,Dormant"
"0334-ZFJSR,2024-01-16 00:00:00.000000,Dormant"
"0336-KXKFK,2024-05-29 00:00:00.000000,Dormant"
"0336-PIKEI,2024-01-12 00:00:00.000000,Dormant"
"0337-CNPZE,2023-08-31 00:00:00.000000,Dormant"
"0343-QLUZP,2023-11-22 00:00:00.000000,Dormant"
"0345-HKJVM,2024-01-23 00:00:00.000000,Dormant"
"0345-XMMUG,2023-08-18 00:00:00.000000,Dormant"
"0347-UBKUZ,2023-12-15 00:00:00.000000,Dormant"
"0348-SDKOL,2023-09-15 00:00:00.000000,Dormant"
"0354-VXMJC,2024-03-20 00:00:00.000000,Dormant"
"0354-WYROK,2024-01-22 00:00:00.000000,Dormant"
"0356-ERHVT,2023-05-26 00:00:00.000000,Dormant"
"0356-OBMAC,2024-01-21 00:00:00.000000,Dormant"
"0357-NVCRI,2023-06-11 00:00:00.000000,Dormant"
"0361-HJRDX,2024-05-26 00:00:00.000000,Dormant"
"0362-RAOQO,2024-02-26 00:00:00.000000,Dormant"
"0362-ZBZWJ,2024-01-26 00:00:00.000000,Dormant"
"0363-QJVFX,2023-12-16 00:00:00.000000,Dormant"
"0363-SVHYR,2023-12-17 00:00:00.000000,Dormant"
"0365-BZUWY,2023-06-12 00:00:00.000000,Dormant"
"0365-GXEZS,2023-12-19 00:00:00.000000,Dormant"
"0365-TRTPY,2024-01-21 00:00:00.000000,Dormant"
"0366-NQSHS,2023-01-10 00:00:00.000000,Dormant"
"0369-ZGOVK,2024-03-13 00:00:00.000000,Dormant"
"0373-AIVNJ,2023-06-04 00:00:00.000000,Dormant"
"0374-AACSZ,2023-09-28 00:00:00.000000,Dormant"
"0374-FIUCA,2024-05-28 00:00:00.000000,Dormant"
"0374-IOEGQ,2023-04-03 00:00:00.000000,Dormant"
"0375-HVGXO,2023-09-10 00:00:00.000000,Dormant"
"0376-OIWME,2024-05-24 00:00:00.000000,Dormant"
"0376-YMCJC,2023-06-12 00:00:00.000000,Dormant"
"0377-JBKKT,2023-08-08 00:00:00.000000,Dormant"
"0378-CJKPV,2023-07-16 00:00:00.000000,Dormant"
"0378-NHQXU,2023-06-17 00:00:00.000000,Dormant"
"0378-TOVMS,2023-08-08 00:00:00.000000,Dormant"
"0378-XSZPU,2023-11-14 00:00:00.000000,Dormant"
"0379-DJQHR,2023-11-24 00:00:00.000000,Dormant"
"0380-NEAVX,2023-09-06 00:00:00.000000,Dormant"
"0380-ZCSBI,2023-08-28 00:00:00.000000,Dormant"
"0383-CLDDA,2023-12-25 00:00:00.000000,Dormant"
"0384-LPITE,2024-03-28 00:00:00.000000,Dormant"
"0384-RVBPI,2023-12-02 00:00:00.000000,Dormant"
"0386-CWRGM,2023-07-24 00:00:00.000000,Dormant"
"0388-EOPEX,2023-04-30 00:00:00.000000,Dormant"
"0390-DCFDQ,2023-10-28 00:00:00.000000,Dormant"
"0392-BZIUW,2023-10-19 00:00:00.000000,Dormant"
"0394-YONDK,2024-04-18 00:00:00.000000,Dormant"
"0396-HUJBP,2023-08-15 00:00:00.000000,Dormant"
"0396-UKGAI,2024-01-28 00:00:00.000000,Dormant"
"0396-YCHWO,2023-08-10 00:00:00.000000,Dormant"
"0397-GZBBC,2024-04-18 00:00:00.000000,Dormant"
"0397-ZXWQF,2023-08-12 00:00:00.000000,Dormant"
"0401-WDBXM,2023-11-11 00:00:00.000000,Dormant"
"0402-CQAJN,2023-08-22 00:00:00.000000,Dormant"
"0402-OAMEN,2023-06-16 00:00:00.000000,Dormant"
"0404-AHASP,2024-03-18 00:00:00.000000,Dormant"
"0404-SWRVG,2023-01-27 00:00:00.000000,Dormant"
"0406-BPDVR,2023-11-15 00:00:00.000000,Dormant"
"0407-BDJKB,2024-04-06 00:00:00.000000,Dormant"
"0409-WTMPL,2024-02-29 00:00:00.000000,Dormant"
"0410-IPFTY,2024-06-01 00:00:00.000000,Dormant"
"0411-EZJZE,2023-01-29 00:00:00.000000,Dormant"
"0412-UCCNP,2023-11-19 00:00:00.000000,Dormant"
"0415-MOSGF,2023-05-15 00:00:00.000000,Dormant"
"0419-YAAPX,2023-09-27 00:00:00.000000,Dormant"
"0420-BWTPW,2023-08-28 00:00:00.000000,Dormant"
"0420-HLGXF,2024-03-18 00:00:00.000000,Dormant"
"0420-TXVSG,2023-11-13 00:00:00.000000,Dormant"
"0422-OHQHQ,2023-12-09 00:00:00.000000,Dormant"
"0422-UXFAP,2023-08-18 00:00:00.000000,Dormant"
"0423-UDIJQ,2023-04-30 00:00:00.000000,Dormant"
"0426-TIRNE,2023-10-27 00:00:00.000000,Dormant"
"0428-AXXLJ,2023-11-01 00:00:00.000000,Dormant"
"0428-IKYCP,2024-02-17 00:00:00.000000,Dormant"
"0430-IHCDJ,2023-08-25 00:00:00.000000,Dormant"
"0431-APWVY,2023-10-01 00:00:00.000000,Dormant"
"0432-CAJZV,2023-09-20 00:00:00.000000,Dormant"
"0434-CSFON,2023-07-03 00:00:00.000000,Dormant"
"0436-TWFFZ,2024-01-03 00:00:00.000000,Dormant"
"0439-IFYUN,2023-10-25 00:00:00.000000,Dormant"
"0440-EKDCF,2023-06-12 00:00:00.000000,Dormant"
"0440-MOGPM,2023-06-18 00:00:00.000000,Dormant"
"0440-QEXBZ,2023-10-13 00:00:00.000000,Dormant"
"0440-UEDAI,2024-02-25 00:00:00.000000,Dormant"
"0442-TDYUO,2023-08-14 00:00:00.000000,Dormant"
"0442-ZXKVS,2024-04-17 00:00:00.000000,Dormant"
"0447-BEMNG,2024-04-25 00:00:00.000000,Dormant"
"0447-RXSGD,2024-05-04 00:00:00.000000,Dormant"
"0454-OKRCT,2023-07-09 00:00:00.000000,Dormant"
"0455-ENTCR,2023-06-16 00:00:00.000000,Dormant"
"0455-XFASS,2023-01-22 00:00:00.000000,Dormant"
"0458-HEUZG,2024-03-12 00:00:00.000000,Dormant"
"0459-SPZHJ,2024-03-08 00:00:00.000000,Dormant"
"0461-CVKMU,2023-12-21 00:00:00.000000,Dormant"
"0463-TXOAK,2024-04-21 00:00:00.000000,Dormant"
"0463-WZZKO,2023-09-14 00:00:00.000000,Dormant"
"0463-ZSDNT,2023-04-10 00:00:00.000000,Dormant"
"0464-WJTKO,2024-06-05 00:00:00.000000,Dormant"
"0468-YRPXN,2024-04-10 00:00:00.000000,Dormant"
"0471-ARVMX,2023-06-29 00:00:00.000000,Dormant"
"0471-LVHGK,2024-04-04 00:00:00.000000,Dormant"
"0475-RIJEP,2023-06-21 00:00:00.000000,Dormant"
"0479-HMSWA,2024-02-25 00:00:00.000000,Dormant"
"0480-BIXDE,2024-02-28 00:00:00.000000,Dormant"
"0480-KYJVA,2024-05-10 00:00:00.000000,Dormant"
"0481-SUMCB,2024-03-07 00:00:00.000000,Dormant"
"0484-FFVBJ,2023-12-26 00:00:00.000000,Dormant"
"0484-JPBRU,2023-06-23 00:00:00.000000,Dormant"
"0485-ZBSLN,2023-10-28 00:00:00.000000,Dormant"
"0486-HECZI,2023-09-10 00:00:00.000000,Dormant"
"0486-LGCCH,2023-04-15 00:00:00.000000,Dormant"
"0487-CRLZF,2023-11-30 00:00:00.000000,Dormant"
"0487-RPVUM,2024-02-22 00:00:00.000000,Dormant"
"0487-VVUVK,2024-01-27 00:00:00.000000,Dormant"
"0488-GSLFR,2023-03-13 00:00:00.000000,Dormant"
"0489-WMEMG,2024-04-17 00:00:00.000000,Dormant"
"0491-KAPQG,2024-05-04 00:00:00.000000,Dormant"
"0495-RVCBF,2023-08-06 00:00:00.000000,Dormant"
"0495-ZBNGW,2023-10-25 00:00:00.000000,Dormant"
"0496-AHOOK,2023-07-14 00:00:00.000000,Dormant"
"0504-HHAPI,2023-11-02 00:00:00.000000,Dormant"
"0505-SPOOW,2023-09-04 00:00:00.000000,Dormant"
"0506-LVNGN,2023-07-13 00:00:00.000000,Dormant"
"0506-YLVKJ,2024-03-16 00:00:00.000000,Dormant"
"0508-OOLTO,2023-12-30 00:00:00.000000,Dormant"
"0508-SQWPL,2023-10-23 00:00:00.000000,Dormant"
"0511-JTEOY,2023-02-16 00:00:00.000000,Dormant"
"0512-FLFDW,2023-08-15 00:00:00.000000,Dormant"
"0513-RBGPE,2023-07-08 00:00:00.000000,Dormant"
"0515-YPMCW,2023-03-04 00:00:00.000000,Dormant"
"0516-OOHAR,2023-12-11 00:00:00.000000,Dormant"
"0516-QREYC,2023-07-18 00:00:00.000000,Dormant"
"0516-UXRMT,2024-01-01 00:00:00.000000,Dormant"
"0516-VRYBW,2023-07-04 00:00:00.000000,Dormant"
"0516-WJVXC,2023-12-24 00:00:00.000000,Dormant"
"0519-DRGTI,2023-12-23 00:00:00.000000,Dormant"
"0519-XUZJU,2023-09-03 00:00:00.000000,Dormant"
"0520-FDVVT,2024-05-02 00:00:00.000000,Dormant"
"0523-VNGTF,2024-01-12 00:00:00.000000,Dormant"
"0524-IAVZO,2024-01-11 00:00:00.000000,Dormant"
"0526-SXDJP,2023-10-02 00:00:00.000000,Dormant"
"0529-ONKER,2023-04-22 00:00:00.000000,Dormant"
"0530-IJVDB,2023-09-01 00:00:00.000000,Dormant"
"0531-XBKMM,2024-03-07 00:00:00.000000,Dormant"
"0531-ZZJWQ,2023-09-30 00:00:00.000000,Dormant"
"0533-BNWKF,2024-03-03 00:00:00.000000,Dormant"
"0533-UCAAU,2024-03-15 00:00:00.000000,Dormant"
"0536-ACXIP,2024-01-04 00:00:00.000000,Dormant"
"0536-BGFMZ,2023-08-26 00:00:00.000000,Dormant"
"0536-ESJEP,2024-06-08 00:00:00.000000,Dormant"
"0537-QYZZN,2024-03-16 00:00:00.000000,Dormant"
"0541-FITGH,2023-07-27 00:00:00.000000,Dormant"
"0547-HURJB,2023-04-17 00:00:00.000000,Dormant"
"0549-CYCQN,2024-01-08 00:00:00.000000,Dormant"
"0550-DCXLH,2023-08-28 00:00:00.000000,Dormant"
"0556-FJEGU,2023-11-10 00:00:00.000000,Dormant"
"0557-ASKVU,2023-11-11 00:00:00.000000,Dormant"
"0559-CKHUS,2023-11-01 00:00:00.000000,Dormant"
"0562-FGDCR,2024-01-12 00:00:00.000000,Dormant"
"0562-HKHML,2024-01-16 00:00:00.000000,Dormant"
"0562-KBDVM,2023-10-15 00:00:00.000000,Dormant"
"0564-JJHGS,2023-10-27 00:00:00.000000,Dormant"
"0564-MUUQK,2024-03-16 00:00:00.000000,Dormant"
"0565-IYCGT,2023-07-03 00:00:00.000000,Dormant"
"0565-JUPYD,2024-05-30 00:00:00.000000,Dormant"
"0567-GGCAC,2024-01-25 00:00:00.000000,Dormant"
"0567-XRHCU,2024-02-13 00:00:00.000000,Dormant"
"0568-ONFPC,2023-11-08 00:00:00.000000,Dormant"
"0570-BFQHT,2024-02-18 00:00:00.000000,Dormant"
"0572-ZJKLT,2023-10-30 00:00:00.000000,Dormant"
"0575-CUQOV,2024-06-04 00:00:00.000000,Dormant"
"0576-WNXXC,2023-09-13 00:00:00.000000,Dormant"
"0577-WHMEV,2023-08-22 00:00:00.000000,Dormant"
"0578-SKVMF,2024-04-15 00:00:00.000000,Dormant"
"0580-PIQHM,2024-04-20 00:00:00.000000,Dormant"
"0581-BXBUB,2023-09-21 00:00:00.000000,Dormant"
"0581-MDMPW,2023-10-09 00:00:00.000000,Dormant"
"0582-AVCLN,2024-02-27 00:00:00.000000,Dormant"
"0584-BJQGZ,2024-02-04 00:00:00.000000,Dormant"
"0585-EGDDA,2023-12-14 00:00:00.000000,Dormant"
"0587-DMGBH,2023-11-16 00:00:00.000000,Dormant"
"0594-UFTUL,2024-02-06 00:00:00.000000,Dormant"
"0595-ITUDF,2023-10-08 00:00:00.000000,Dormant"
"0596-BQCEQ,2023-11-27 00:00:00.000000,Dormant"
"0599-XNYDO,2023-11-08 00:00:00.000000,Dormant"
"0601-WZHJF,2023-06-15 00:00:00.000000,Dormant"
"0602-DDUML,2024-01-12 00:00:00.000000,Dormant"
"0603-OLQDC,2023-12-20 00:00:00.000000,Dormant"
"0603-TPMIB,2023-06-30 00:00:00.000000,Dormant"
"0604-THJFP,2024-04-05 00:00:00.000000,Dormant"
"0607-DAAHE,2023-12-06 00:00:00.000000,Dormant"
"0607-MVMGC,2023-10-22 00:00:00.000000,Dormant"
"0608-JDVEC,2023-06-28 00:00:00.000000,Dormant"
"0611-DFXKO,2024-04-12 00:00:00.000000,Dormant"
"0612-RTZZA,2023-02-17 00:00:00.000000,Dormant"
"0613-WUXUM,2023-06-22 00:00:00.000000,Dormant"
"0616-ATFGB,2023-09-01 00:00:00.000000,Dormant"
"0617-AQNWT,2024-01-21 00:00:00.000000,Dormant"
"0617-FHSGK,2024-02-08 00:00:00.000000,Dormant"
"0618-XWMSS,2024-02-02 00:00:00.000000,Dormant"
"0619-OLYUR,2023-07-04 00:00:00.000000,Dormant"
"0620-DLSLK,2023-11-06 00:00:00.000000,Dormant"
"0620-XEFWH,2023-03-24 00:00:00.000000,Dormant"
"0621-CXBKL,2023-11-14 00:00:00.000000,Dormant"
"0621-HJWXJ,2024-01-05 00:00:00.000000,Dormant"
"0621-JFHOL,2023-08-03 00:00:00.000000,Dormant"
"0621-TSSMU,2024-03-07 00:00:00.000000,Dormant"
"0621-TWIEM,2024-01-04 00:00:00.000000,Dormant"
"0623-EJQEG,2023-09-13 00:00:00.000000,Dormant"
"0623-GDISB,2023-06-02 00:00:00.000000,Dormant"
"0623-IIHUG,2023-11-06 00:00:00.000000,Dormant"
"0625-AFOHS,2024-05-05 00:00:00.000000,Dormant"
"0626-QXNGV,2024-01-03 00:00:00.000000,Dormant"
"0628-CNQRM,2023-09-15 00:00:00.000000,Dormant"
"0634-SZPQA,2023-08-12 00:00:00.000000,Dormant"
"0635-WKOLD,2023-10-05 00:00:00.000000,Dormant"
"0637-KVDLV,2023-05-22 00:00:00.000000,Dormant"
"0637-UBJRP,2023-11-17 00:00:00.000000,Dormant"
